n	time [ns]
5000	21435786
6000	30374780
7000	40346140
8000	52085513
9000	66080933
10000	81507880
11000	98800820
12000	117979713
13000	137904320
14000	159995673
15000	183028540
16000	208552760
17000	235561826
18000	262748986
19000	293659186
20000	325767506
21000	358741180
22000	394330046
23000	430530260
24000	473446520
25000	510510220
26000	551147413
27000	594672033
28000	639711113
29000	685152486
30000	734661386
31000	784986833
32000	834322866
33000	886967540
34000	941617046
35000	999934100
36000	1056825746
37000	1116385760
38000	1175623380
39000	1242748193
40000	1305246660
41000	1369618840
42000	1440918413
43000	1503831486
44000	1581821453
45000	1652956706
46000	1724587293
47000	1806126640
48000	1879104193
49000	1959521446
50000	2038710800
51000	2122376180
52000	2206129440
53000	2293476693
54000	2379457320
55000	2466233033
56000	2557675326
57000	2648689953
58000	2743966806
59000	2841884686
60000	2939368700
61000	3033101920
62000	3143561186
63000	3236189726
64000	3337393366
65000	3444401486
66000	3553571820
67000	3659144360
68000	3784065366
69000	3890569026
70000	3998127880
71000	4115266880
72000	4226933993
73000	4370485573
74000	4467629553
75000	4589339566
76000	4713911860
77000	4839934626
78000	4963137553
79000	5090712346
80000	5214368553
81000	5374145360
82000	5472582026
83000	5599892280
84000	5736082113
85000	5874833480
86000	6012370486
87000	6148671793
88000	6294527946
89000	6436968926
90000	6586490006
91000	6738128006
92000	6878026386
93000	7030307380
94000	7186289600
95000	7336653333
96000	7494253373
97000	7649593346
98000	7805629740
99000	7980517413
100000	8129236053
